to category	肺动脉闭锁患儿TBX1缺失分析	医学
to category	西南某水电站坝肩堆积体基本特征及稳定性研究	工学
to category	中国城乡金融二元结构强度分析	管理学
to category	对21世纪中国武术发展的思考	教育学
to category	欧洲城镇化研究进展	工学
to category	小波阈值法在光干涉信号除噪中的应用	工学
to category	生活垃圾塑料分选及利用技术研究	工学
to category	长江口及其邻近海区无结构网格风暴潮预报系统的研制与分析	理学
to category	紫外可见分光光度法对EPS与金属离子的相互作用的研究	工学
to category	高效平板式两相回路热管的实验研究	工学
to category	我国四元经济结构背景下的农业剩余劳动力转移	管理学
to category	静电纺纳米纤维束的吸水保水及芯吸性能	工学
to category	网络管理技术在海洋立体环境监测系统中的应用	理学
to category	羌族刺绣图案题材及民族文化内涵分析	艺术学
to category	菌根菌肥料和地膜覆盖对普陀樟幼苗海岛造林影响	农学
to category	胃肠道间质瘤的影像表现及误诊分析	医学
to category	产业集群演进阶段的定量判定方法研究	经济学
to category	Rice信道下LDPC码密度进化的研究	工学
to category	土库曼斯坦萨曼杰佩气田卡洛夫阶-牛津阶碳酸盐岩储层特征	理学
to category	汉语口语中表示制止的祈使习用语	文学
to category	文士禅心与金代寺院游观诗	法学
to category	不同手法治疗颈椎病伴胸椎小关节紊乱41例	医学
to category	跨国公司在华撤资动因分析	经济学
to category	电子收费系统中红外检测车型的自动分类技术	工学
to category	高度重视造血干细胞移植后巨细胞病毒感染	医学
to category	一种说话者识别的新方法	工学
to category	基于遗传算法的扇区边界尾随间隔管理方法的研究	工学
to category	保护性政策与妇女公共参与——湖北广水H村"性别两票制"选举试验观察与思考	法学
to category	高新技术企业技术成果转化与多层次资本市场研究	经济学
to category	基于FPGA的自由空间音频信号传输及频谱显示系统	工学
to category	国际形势与中国的和平发展	法学
to category	以科学发展观统领全局打造新时期服务型工商	管理学
to category	近空间飞行器巡航方式对比分析	工学
to category	养猪企业如何留住人才	农学
to category	柔性衬底上AZO薄膜的附着力特性研究	工学
to category	Repetitive代数的导出等价	理学
to category	几种台风资料的对比及台风年鉴数据的订正	理学
to category	火花探测熄灭系统在纺织行业应用的可行性	工学
to category	哈尔滨景观设计的地域性	农学
to category	星载InSAR辅星编队优化设计与分析	工学
to category	汶川地震对现代河流形态的影响与水文效应	理学
to category	读《共产党和社会党百年关系史》	法学
to category	成都市不同土壤天然放射性核素分析	工学
to category	角色转换——西部民营企业家的再造	经济学
to category	高原隧道爆破施工技术探讨	工学
to category	品牌宽度与消费者对品牌认同度的关系研究	经济学
to category	体积改造油藏注水吞吐有效补充地层能量开发的新方式	工学
to category	麦普宁治疗椎-基底动脉缺血性眩晕疗效观察	医学
to category	舍格伦综合征的口腔科检查诊断意义的评价	医学
to category	γ射线联合肉桂精油对腐败希瓦氏菌的抑制机制	工学
